"areaCode","villcode","countyname","countycode","towncode","townname","villname","area_nickname"
"6300001","63000110027","臺北市","63000","63000110","士林區","德行里","士林區*、北投區"
"6300001","63000110028","臺北市","63000","63000110","士林區","德華里","士林區*、北投區"
"6300001","63000110030","臺北市","63000","63000110","士林區","忠誠里","士林區*、北投區"
"6300001","63000110033","臺北市","63000","63000110","士林區","三玉里","士林區*、北投區"
"6300001","63000110034","臺北市","63000","63000110","士林區","蘭雅里","士林區*、北投區"
"6300001","63000110035","臺北市","63000","63000110","士林區","蘭興里","士林區*、北投區"
"6300001","63000110036","臺北市","63000","63000110","士林區","天福里","士林區*、北投區"
"6300001","63000110037","臺北市","63000","63000110","士林區","天祿里","士林區*、北投區"
"6300001","63000110038","臺北市","63000","63000110","士林區","天壽里","士林區*、北投區"
"6300001","63000110039","臺北市","63000","63000110","士林區","天和里","士林區*、北投區"
"6300001","63000110040","臺北市","63000","63000110","士林區","天山里","士林區*、北投區"
"6300001","63000110041","臺北市","63000","63000110","士林區","天玉里","士林區*、北投區"
"6300001","63000110042","臺北市","63000","63000110","士林區","天母里","士林區*、北投區"
"6300001","63000120001","臺北市","63000","63000120","北投區","建民里","士林區*、北投區"
"6300001","63000120002","臺北市","63000","63000120","北投區","文林里","士林區*、北投區"
"6300001","63000120003","臺北市","63000","63000120","北投區","石牌里","士林區*、北投區"
"6300001","63000120004","臺北市","63000","63000120","北投區","福興里","士林區*、北投區"
"6300001","63000120005","臺北市","63000","63000120","北投區","榮光里","士林區*、北投區"
"6300001","63000120006","臺北市","63000","63000120","北投區","榮華里","士林區*、北投區"
"6300001","63000120007","臺北市","63000","63000120","北投區","裕民里","士林區*、北投區"
"6300001","63000120008","臺北市","63000","63000120","北投區","振華里","士林區*、北投區"
"6300001","63000120009","臺北市","63000","63000120","北投區","永和里","士林區*、北投區"
"6300001","63000120010","臺北市","63000","63000120","北投區","永欣里","士林區*、北投區"
"6300001","63000120011","臺北市","63000","63000120","北投區","永明里","士林區*、北投區"
"6300001","63000120012","臺北市","63000","63000120","北投區","東華里","士林區*、北投區"
"6300001","63000120013","臺北市","63000","63000120","北投區","吉利里","士林區*、北投區"
"6300001","63000120014","臺北市","63000","63000120","北投區","吉慶里","士林區*、北投區"
"6300001","63000120015","臺北市","63000","63000120","北投區","尊賢里","士林區*、北投區"
"6300001","63000120016","臺北市","63000","63000120","北投區","立賢里","士林區*、北投區"
"6300001","63000120017","臺北市","63000","63000120","北投區","立農里","士林區*、北投區"
"6300001","63000120018","臺北市","63000","63000120","北投區","八仙里","士林區*、北投區"
"6300001","63000120019","臺北市","63000","63000120","北投區","洲美里","士林區*、北投區"
"6300001","63000120020","臺北市","63000","63000120","北投區","奇岩里","士林區*、北投區"
"6300001","63000120021","臺北市","63000","63000120","北投區","清江里","士林區*、北投區"
"6300001","63000120022","臺北市","63000","63000120","北投區","中央里","士林區*、北投區"
"6300001","63000120023","臺北市","63000","63000120","北投區","長安里","士林區*、北投區"
"6300001","63000120024","臺北市","63000","63000120","北投區","大同里","士林區*、北投區"
"6300001","63000120025","臺北市","63000","63000120","北投區","溫泉里","士林區*、北投區"
"6300001","63000120026","臺北市","63000","63000120","北投區","林泉里","士林區*、北投區"
"6300001","63000120027","臺北市","63000","63000120","北投區","中心里","士林區*、北投區"
"6300001","63000120028","臺北市","63000","63000120","北投區","中庸里","士林區*、北投區"
"6300001","63000120029","臺北市","63000","63000120","北投區","開明里","士林區*、北投區"
"6300001","63000120030","臺北市","63000","63000120","北投區","中和里","士林區*、北投區"
"6300001","63000120031","臺北市","63000","63000120","北投區","智仁里","士林區*、北投區"
"6300001","63000120032","臺北市","63000","63000120","北投區","秀山里","士林區*、北投區"
